track_id,track_name,artist_name,main_artist,canonical_title,release_date,popularity
4PV0uE5pZSh44E3NqNNDEH,selfish,madison beer,madison beer,selfish,2020-02-14,73
5EzL7hGT9g2Tvqsy158Lu9,pussy talk,city girls,city girls,pussy talk,2020-06-20,73
5WYB4aZkflwjAApBoDCYkz,astronomia - never go home,tony igy,tony igy,astronomia never go home,2020-10-09,73
5YOlr46EwaH34hfN6r4vXR,trap anthem,mc virgins,mc virgins,trap anthem,2020-02-25,73
6r3Wa1lkJVEuc67aZhwO61,with my hoe!,c2d,c2d,with my hoe,2020-09-11,73
0Y9qJSwdV2LvPnFmAbNIc8,far away from home (feat. leony),sam feldt,sam feldt,far away from home,2020-06-12,72
0dZpw3h6KZhcHec61qwevZ,banana (feat. shaggy) - dj fle - minisiren remix,conkarah,conkarah,banana dj fle minisiren remix,2020-05-15,72
0xKBkLcF71uUQeTA7FSu4A,best on earth (feat. bia) - bonus,russ,russ,best on earth,2020-01-31,72
11VApNQCWLJdzxWrlmwzUa,say so (feat. nicki minaj),doja cat,doja cat,say so,2020-05-01,72
2D0dj3hVkRQJCp63cxCPEx,stunnin' (feat. harm franklin),curtis waters,curtis waters,stunnin,2020-05-19,72
2etJ67Egf7woMgOikVrlJM,travesuras,flow la movie,flow la movie,travesuras,2020-11-05,72
2rUsJXt4NeeDiIU6sBvrxo,all we got (feat. kiddo) - ofenbach remix,robin schulz,robin schulz,all we got ofenbach remix,2020-11-13,72
3PXi72ZtSqx1PZc40KS0Qj,mean,$not,$not,mean,2020-10-30,72
3aAmQOxRPeKDL0HMWFA5qn,adderall (corvette corvette),popp hunna,popp hunna,adderall,2020-10-15,72
3omvXShuRPM3zbDpWYqf5g,more & more,twice,twice,more more,2020-06-01,72
3sKz6Sd72K0ofPWcJPPk6H,said sum,moneybagg yo,moneybagg yo,said sum,2020-09-18,72
4E7ZbuJH3NddjnMWLstkRq,i am (feat. flo milli),yung baby tate,yung baby tate,i am,2020-12-04,72
4ekDggjElGJX9kNSOtnbVf,infinity - dubdogz & bhaskar edit,dubdogz,dubdogz,infinity dubdogz bhaskar,2020-01-31,72
4xI3U4sDj1TPmO9Iz5TkYp,4k,el alfa,el alfa,4k,2020-03-12,72
