track_id,track_name,artist_name,main_artist,canonical_title,track_genre,popularity
511ZMyXhrPlJvQSYtBWDy3,diablo,beret;estopa,beret,diablo,spanish,75
54X78diSLoUDI3joC2bjMz,purple rain,prince,prince,purple rain,funk,75
54b8qPFqYqIndfdxiLApea,alone,heart,heart,alone,hard-rock,75
54bFM56PmE4YLRnqpW6Tha,therefore i am,billie eilish,billie eilish,therefore i am,electro,75
57Xjny5yNzAcsxnusKmAfA,reptilia,the strokes,the strokes,reptilia,alt-rock,75
58ynJq9eLLDChA3GNFJcDL,channa ve,akhil sachdeva;mansheel gujral,akhil sachdeva,channa ve,pop,75
5FG7Tl93LdH117jEKYl3Cm,essence (feat. tems),wizkid;tems,wizkid,essence,dancehall,75
5KTBaWu8IOczQ0sPWzZ7MY,dicke titten,rammstein,rammstein,dicke titten,industrial,75
5KqldkCunQ2rWxruMEtGh0,the gambler,kenny rogers,kenny rogers,the gambler,country,75
5O932cZmzOZGOGZz9RHx20,khairiyat,pritam;arijit singh,pritam,khairiyat,indian,75
5RrOyaV2xOAnf62uWj24dB,oops,king,king,oops,hip-hop,75
5SZ6zX4rOrEQferfFC2MfP,walk this way,aerosmith,aerosmith,walk this way,hard-rock,75
5TmFTHZp7HjBXjjsFvCY6h,destination calabria - radio edit,alex gaudino;crystal waters,alex gaudino,destination calabria,disco,75
5W83ErFkO3aKAIS1WMi6u0,secreto,anuel aa;karol g,anuel aa,secreto,latino,75
5ZBeML7Lf3FMEVviTyvi8l,twist and shout - remastered 2009,the beatles,the beatles,twist and shout,british,75
5awDvzxWfd53SSrsRZ8pXO,du hast,rammstein,rammstein,du hast,alt-rock,75
5cpJFiNwYyWwFLH0V6B3N8,del mar,ozuna;doja cat;sia,ozuna,del mar,latin,75
5e2ZOmiFEAOFEgXNj1mHEk,i remember,cheat codes;russell dickerson,cheat codes,i remember,edm,75
5f1joOtoMeyppIcJGZQvqJ,be like that - feat. swae lee & khalid,kane brown;swae lee;khalid,kane brown,be like that,country,75
5fpq1wF8xa5tSSlcKHdmGQ,strangers,bring me the horizon,bring me the horizon,strangers,metal,75
5gRcv46AMTrosmTOqrOV3Q,dumb,nirvana,nirvana,dumb,alt-rock,75
5hVjoL3sHepZROri63wBxP,it's plenty,burna boy,burna boy,it s plenty,dancehall,75
5icOoE6VgqFKohjWWNp0Ac,here with me,marshmello;chvrches,marshmello,here with me,dance,75
5knuzwU65gJK7IF5yJsuaW,rockabye (feat. sean paul & anne-marie),clean bandit;sean paul;anne-marie,clean bandit,rockabye,dance,75
5masKPHeAOVNgxdLebIcK7,stole the show,kygo;parson james,kygo,stole the show,edm,75
5naar7XewEOAjOywIp6Jjq,remember when,wallows,wallows,remember when,indie-pop,75
5qTvkDrSfvwDv6RBjjcfQr,get busy,sean paul,sean paul,get busy,dancehall,75
60wwxj6Dd9NJlirf84wr2c,clarity,zedd;foxes,zedd,clarity,edm,75
63aj87TQG6F3RVO5nbG2VQ,in da getto,j balvin;skrillex,j balvin,in da getto,latin,75
66sBTYlkaiyBwf4fhbIHlZ,yours,jin,jin,yours,k-pop,75
6ATgDc6e4sPn84hvJsAmPt,hate u love u,olivia o'brien,olivia o'brien,hate u love u,electro,75
6FfLg6FFqhCsrFOaHIGkg0,honeypie,jawny,jawny,honeypie,indie-pop,75
6GtX0jaNL8IjVQfrDBx81z,bullet with butterfly wings - remastered 2012,the smashing pumpkins,the smashing pumpkins,bullet with butterfly wings,grunge,75
6LnEoRQKMcaFTR5UvaKuBy,rock with you,seventeen,seventeen,rock with you,k-pop,75
6N7LquYjc3c53qr4PSJbi5,noche de novela (feat. ed sheeran),paulo londra;ed sheeran,paulo londra,noche de novela,latino,75
6Owc2SuzwO3LW1SAODYK3l,melody,sigala,sigala,melody,edm,75
6Ox1rvlwEpB49drasQm6RF,star shopping,lil peep,lil peep,star shopping,emo,75
6PypGyiu0Y2lCDBN1XZEnP,everybody hurts,r.e.m.,r.e.m.,everybody hurts,alt-rock,75
6QNphn62YKaHG1hrnPSoHi,a gangster's wife,ms krazie;chino grande,ms krazie,a gangster s wife,latin,75
6RNDeRnWsRMjPdNVgupZCs,i just called to say i love you,stevie wonder,stevie wonder,i just called to say i love you,funk,75
6SRWhUJcD2YKahCwHavz3X,darkside,alan walker;au/ra;tomine harket,alan walker,darkside,electro,75
6SZwj6cjc8JQbkrr8cbIUn,oh klahoma,jack stauber,jack stauber,oh klahoma,indie,75
6T4o4xEh61CpgM9v4jG5DJ,"3racha (bang chan, changbin, han)",stray kids,stray kids,3racha,k-pop,75
6TClJ8jXi3OBV7gcrU3jx5,tere te,ap dhillon;gurinder gill,ap dhillon,tere te,hip-hop,75
6UFivO2zqqPFPoQYsEMuCc,bags,clairo,clairo,bags,indie-pop,75
6Up545NUflOiXo8cEraH49,you say,lauren daigle,lauren daigle,you say,alt-rock,75
6XUHsYE38CEbYunT983O9G,give a little bit,supertramp,supertramp,give a little bit,piano,75
6YWjskKykdPsBuiTBOg1VK,δ. dieu ne ment jamais,damso,damso,dieu ne ment jamais,french,75
6YYmoV9YbBefsspGmqFHbs,una vaina loca,fuego,fuego,una vaina loca,reggaeton,75
6Za3190Sbw39BBC77WSS1C,criminal,natti natasha;ozuna,natti natasha,criminal,latino,75
6bvZRLLkBKkmgpBJTTj3QK,how you like that,blackpink,blackpink,how you like that,k-pop,75
6gZVQvQZOFpzIy3HblJ20F,man in the box,alice in chains,alice in chains,man in the box,alt-rock,75
6ho0GyrWZN3mhi9zVRW7xi,losing it,fisher,fisher,losing it,house,75
6iW38RGqdDGOofmz2HeXLW,piece of your heart - alok remix,meduza;alok;goodboys,meduza,piece of your heart alok remix,edm,75
6ilc4vQcwMPlvAHFfsTGng,sweet,cigarettes after sex,cigarettes after sex,sweet,ambient,75
6nGeLlakfzlBcFdZXteDq7,love story,indila,indila,love story,french,75
6nLvaCZFR1wEzW3sIKpsnr,"valerie - live at bbc radio 1 live lounge, london / 2007",amy winehouse,amy winehouse,valerie at bbc 1 lounge london,british,75
6suYoN4gFkanqOBn5yRnJC,boys will be bugs,cavetown,cavetown,boys will be bugs,indie-pop,75
6v0UJD4a2FtleHeSYVX02A,i drink wine,adele,adele,i drink wine,british,75
6wfb4nI2Vih263JqC8WSoW,m.,anıl emre daldal,anıl emre daldal,m,turkish,75
6y4GYuZszeXNOXuBFsJlos,kaikai kitan,eve,eve,kaikai kitan,anime,75
70L6nHORQsblY813yNqUR3,cherry waves,deftones,deftones,cherry waves,metal,75
74irxdVWstNlEQjsvArITq,crazy,aerosmith,aerosmith,crazy,hard-rock,75
75ls0gurX68lUmMjE7QcsE,all the kids are depressed,jeremy zucker,jeremy zucker,all the kids are depressed,electro,75
77KnJc8o5G1eKVwX5ywMeZ,mind over matter (reprise),young the giant,young the giant,mind over matter,alt-rock,75
7Bk0uXKk1uPT0XuQbpFzvs,fiel,los legendarios;wisin;jhay cortez,los legendarios,fiel,reggaeton,75
7CpbhqKUedOIrcvc94p60Y,bodies,drowning pool,drowning pool,bodies,grunge,75
7IL8PSVwLOJxqYne6azxQv,pretty boy,the neighbourhood,the neighbourhood,pretty boy,alt-rock,75
7IXQrRgmHxWYWitSlyFY7z,peur (feat. ziak),kerchak;ziak,kerchak,peur,french,75
7KbF6AdprOXEEHlsq11Z6d,11 pm,maluma,maluma,pm,latino,75
7bcy34fBT2ap1L4bfPsl9q,i didn't change my number,billie eilish,billie eilish,i didn t change my number,electro,75
7lAK3oHbfEnvUQWosrMMpR,yosemite,travis scott,travis scott,yosemite,house,75
7nDIflSHQXzaa8zupxwv3U,yo no sé mañana,luis enrique,luis enrique,yo no se manana,salsa,75
7nnWIPM5hwE3DaUBkvOIpy,drive,incubus,incubus,drive,alt-rock,75
7oOOI85fVQvVnK5ynNMdW7,rock with you - single version,michael jackson,michael jackson,rock with you single,soul,75
7oVEtyuv9NBmnytsCIsY5I,burn it down,linkin park,linkin park,burn it down,alternative,75
7pT6WSg4PCt4mr5ZFyUfsF,if we have each other,alec benjamin,alec benjamin,if we have each other,electro,75
7qH9Z4dJEN0l9bidizW7fq,anchor,novo amor,novo amor,anchor,ambient,75
7qmvLmX9tyaTiBAVNI6YEn,playing with fire,blackpink,blackpink,playing with fire,k-pop,75
7s8VgA8OjvwBUuigKzEGBx,this is home,cavetown,cavetown,this is home,indie-pop,75
7wBJfHzpfI3032CSD7CE2m,stargazing,travis scott,travis scott,stargazing,house,75
7wZUrN8oemZfsEd1CGkbXE,bleeding love,leona lewis,leona lewis,bleeding love,british,75
7yFhA2fUsL2oIMWlw5DaHQ,the bones,maren morris,maren morris,the bones,country,75
7z5G2LOdV8okZn4yWg3q5g,night away (dance) (feat. tion wayne),a1 x j1;tion wayne,a1,night away,chill,75
03UrZgTINDqvnUMbbIMhql,gangnam style (강남스타일),psy,psy,gangnam style,k-pop,74
04ZTP5KsCypmtCmQg5tH9R,i'm a mess,bebe rexha,bebe rexha,i m a mess,dance,74
05RgAMGypEvqhNs5hPCbMS,panama - 2015 remaster,van halen,van halen,panama,hard-rock,74
06vNG6CiV4k8oNA0wUUAO7,until i found you - piano version,stephen sanchez,stephen sanchez,until i found you piano,singer-songwriter,74
0725YWm6Z0TpZ6wrNk64Eb,super rich kids,frank ocean;earl sweatshirt,frank ocean,super rich kids,soul,74
0AjcdGri5vhJsmZnduCEqd,october passed me by,girl in red,girl in red,october passed me by,indie-pop,74
0BRHnOFm6sjxN1i9LJrUDu,the anthem,good charlotte,good charlotte,the anthem,metal,74
0CMYUXTTTmI6Lwc0opH2XG,herinneringen,sohn aelia,sohn aelia,herinneringen,sleep,74
0EfsDEYaSjGYd66Pr881nq,cry baby,the neighbourhood,the neighbourhood,cry baby,alt-rock,74
0HAqq2GcQKyi3s87GuN7jU,amoeba,clairo,clairo,amoeba,indie-pop,74
0IktbUcnAGrvD03AWnz3Q8,lucky,jason mraz;colbie caillat,jason mraz,lucky,acoustic,74
0JpEMzTHbt2zBIXrntrXzG,young right now,robin schulz;dennis lloyd,robin schulz,young right now,german,74
0KMGxYKeUzK9wc5DZCt3HT,if you leave me now,chicago,chicago,if you leave me now,singer-songwriter,74
0LatE4S9UtCDwIdGQsFFKL,"red lights (bang chan, hyunjin)",stray kids,stray kids,red lights,k-pop,74
0M3adYbGtyRHACP86dey1H,throne,bring me the horizon,bring me the horizon,throne,metal,74
0M955bMOoilikPXwKLYpoi,i hate everything about you,three days grace,three days grace,i hate everything about you,grunge,74
0PdM2a6oIjqepoEfcJo0RO,pour some sugar on me - remastered 2017,def leppard,def leppard,pour some sugar on me,hard-rock,74
0Ph6L4l8dYUuXFmb71Ajnd,livin' la vida loca,ricky martin,ricky martin,livin la vida loca,latin,74
0RdUX4WE0fO30VnlUbDVL6,still loving you,scorpions,scorpions,still loving you,german,74
