track_id,track_name,artist_name,track_genre
2GiJYvgVaD2HtM8GqD9EgQ,electric love,børns,rock
1rqqCSm0Qe4I9rUvWncaom,high hopes,panic! at the disco,rock
1JSTJqkT5qHq8MDJnJbRE1,every breath you take,the police,rock
4u7EnebtmKWzUH433cf5Qv,bohemian rhapsody - remastered 2011,queen,rock
5T8EDUDqKcs6OSOwEsfqG7,don't stop me now - remastered 2011,queen,rock
5qqabIl2vWzo9ApSC317sa,wonderwall - remastered,oasis,rock
2EjXfH91m7f8HiJN1yQg97,rockin' around the christmas tree,brenda lee,rockabilly
2pnPe4pJtq7689i5ydzvJJ,run rudolph run,chuck berry,rockabilly
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),powfu;beabadoobee,sad
4ZLzoOkj0MPWrTLvooIuaa,get you the moon (feat. snøw),kina;snøw,sad
58wyJLv6yH1La9NIZPl3ne,can we kiss forever?,kina;adriana proenza,sad
3Z0oQ8r78OUaHvGPiDBR3W,into the unknown,idina menzel;aurora,show-tunes
0Ie5uiv54KgCr7P4sYDTHl,baby it's cold outside (duet with michael bublé),idina menzel;michael bublé,show-tunes
3dYD57lRAUcMHufyqn9GcI,take me to church,hozier,singer-songwriter
3U4isOIWM3VvDubwSI3y7a,all of me,john legend,soul
1Cv1YLb4q0RzL6pybtaMLo,sunday best,surfaces,soul
5IUtvfNvOyVYZUa6AJFrnP,spicy (feat. post malone),ty dolla $ign;post malone,soul
